# z         Log L_0.5-2keV
      1.62400      43.8195
      2.70900      43.8103
      2.53500      42.4054
      2.80800      43.2658
      4.65800      43.3677
     0.733000      42.0678
      1.88800      44.0465
      3.10100      43.4728
      3.64200      44.4378
      1.37000      42.8148
      1.06500      42.7995
      1.94000      42.8678
      1.63600      42.2922
      1.97200      42.2511
      2.30800      43.4363
      2.53500      42.9117
      1.31800      43.5745
     0.416000      40.6312
      1.76000      42.2589
      1.43800      43.0604
      4.38500      43.1797
      7.20300      43.6576
      2.25900      42.2563
     0.664000      42.9274
     0.674000      41.8118
      2.53500      43.0318
      2.94000      43.1939
      1.23600      41.8298
     0.857000      42.8730
      2.09800      43.0169
      2.80800      43.0024
      1.27000      43.1796
      2.39400      43.3984
     0.673000      42.2481
      2.18500      42.8939
      1.10200      41.4617
      1.95900      41.9866
      2.30100      43.0723
      3.20400      42.8410
      1.21200      41.7405
     0.861000      41.5959
     0.737000      42.3570
      1.93300      42.3875
      1.20800      41.9508
     0.563000      41.2810
      1.69200      42.1993
      1.37900      42.2226
      1.53200      42.0769
     0.812000      42.3586
     0.735000      42.2479
     0.575000      41.2532
      3.30900      44.0196
      2.28200      42.7206
      1.62600      41.9136
      2.18100      42.0511
     0.724000      41.2695
      1.90000      42.0024
      1.03700      43.3037
     0.631000      41.2161
      2.62400      43.2730
     0.975000      41.2144
      1.49900      42.8866
      1.40600      43.2960
      2.80800      42.4396
      2.72600      43.9157
      1.37900      42.3494
      1.61600      43.3169
      1.00000      41.4404
      2.12300      42.4289
      1.00000      41.4841
      2.04700      42.0270
      2.57300      43.2655
     0.295000      40.0052
     0.146000      39.5034
     0.574000      41.8387
      3.00100      43.6590
      3.87700      42.8186
     0.977000      43.4179
      3.00100      42.7013
      1.05600      41.4521
      2.20200      42.9007
     0.236000      39.8651
      3.80800      43.0423
      1.22100      41.3636
      3.41700      43.6816
      2.80800      42.6973
      1.18900      41.3225
      1.60800      42.5776
      1.06800      41.1948
     0.685000      41.7344
      1.20800      42.0041
      1.43800      42.4994
     0.669000      41.0524
      1.02100      41.1194
      2.36400      42.2633
     0.679000      40.7524
      1.05000      41.3049
     0.771000      40.9314
     0.777000      41.6092
     0.722000      40.7266
      2.04700      42.3474
      1.82900      41.8881
      3.52800      42.4642
      2.71400      43.2145
     0.976000      43.2677
     0.545000      41.5352
      2.61200      43.5571
      2.47200      42.6744
      5.72900      43.6442
     0.310000      40.3825
     0.543000      43.5970
     0.736000      40.8256
      2.20200      42.6244
     0.724000      41.5374
      2.81000      43.5366
     0.735000      41.8954
     0.743000      40.9695
     0.609000      40.6652
    0.0830000      39.0374
      2.21500      41.6586
      2.44900      42.3795
      2.62400      42.1614
     0.693000      40.8476
      1.26400      43.5079
     0.653000      40.4458
     0.418000      40.7371
      1.61000      41.8303
     0.416000      40.2225
     0.998000      41.8324
      1.60500      43.7353
      2.80800      43.5478
      3.64200      43.8214
     0.832000      40.9397
      3.99900      43.9935
     0.575000      41.0979
      1.04400      41.0818
      1.20800      41.9201
     0.576000      40.4389
     0.878000      43.7342
      2.80800      43.3873
      2.05900      41.6896
     0.335000      39.7120
     0.676000      40.9758
      1.03400      42.2340
     0.904000      40.8002
     0.333000      39.7311
      1.60500      41.4478
      2.44900      41.7444
      1.56200      42.1205
      2.56200      43.2699
     0.624000      41.5118
     0.605000      42.3971
      2.44900      42.3092
      6.07100      43.6935
     0.735000      41.0172
      2.53500      42.5896
     0.122000      40.7345
      2.02400      42.4362
      2.07600      41.6339
      2.92200      41.8789
     0.673000      40.4217
      1.54400      41.6422
     0.724000      41.1888
      1.43800      42.6594
      1.56200      41.9935
     0.735000      40.7331
      1.82900      42.6495
      1.05000      42.1823
      2.49400      43.1424
     0.675000      42.4168
      2.40200      42.5626
     0.682000      41.3245
     0.245000      39.4790
     0.735000      40.7114
      1.82900      42.9006
     0.674000      41.0494
      1.02300      41.2624
      1.52000      41.0313
      1.41300      41.0621
      2.66600      43.2264
     0.664000      40.8961
      1.32400      43.9429
      2.36400      42.6356
