# z         Log L_0.5-2keV
      1.59000      43.5537
      1.84700      43.4358
    0.0930000      40.4581
      1.62300      42.7237
      2.05300      42.9382
     0.449000      41.4590
      2.22700      42.8121
      2.30300      43.2795
      1.68100      42.7216
      1.57000      42.9576
      1.38500      43.2992
     0.937000      42.7612
      2.39700      43.3913
      1.23100      43.3866
      1.37700      42.9815
      1.32900      42.3728
      2.42100      43.2821
      1.84700      43.0754
      1.31000      42.7655
      2.16200      43.1410
      2.53200      43.4347
      2.57500      43.3999
      1.51100      43.5132
      3.17700      43.3272
      2.15400      43.5504
      1.44400      43.6071
      1.35800      42.5757
      1.43300      43.7318
      2.23100      43.4052
      1.41800      42.5668
      1.55100      43.2218
      2.29800      43.3171
     0.965000      43.2341
     0.528000      42.4188
      3.26400      43.2560
      1.00500      42.7578
      1.00900      42.5466
      1.56000      44.2919
      2.06300      43.5726
      1.02000      42.2231
      2.30200      43.4224
     0.350000      41.2920
     0.678000      42.7612
     0.935000      42.7089
     0.124000      40.4011
      2.94900      43.1643
      2.01800      43.1418
     0.972000      42.8472
      1.93900      43.3521
    0.0490000      39.7650
     0.965000      42.3224
     0.679000      42.0121
      1.84500      42.7219
     0.891000      42.2988
      1.97200      43.2355
      1.24700      42.1727
      2.66800      43.8478
      1.61400      43.5430
      1.43800      42.8900
      2.41500      44.0780
      1.31500      42.9583
     0.889000      42.5390
     0.809000      42.1056
      1.48000      42.8012
      2.20900      43.1220
      2.01700      43.7489
      1.47800      42.5937
      1.95000      43.0428
      1.25800      43.4827
      1.88200      43.4218
     0.998000      42.3170
      1.21300      42.8160
     0.311000      41.1123
      2.91100      43.6998
      2.23100      44.1616
      2.23300      42.8410
     0.673000      42.0621
     0.370000      41.2559
      1.22400      42.8694
     0.370000      41.6488
      1.88300      42.9647
     0.361000      41.2642
      1.65400      43.0089
      1.09200      42.5653
     0.263000      40.9425
      1.93700      42.9208
      2.06600      42.5680
     0.915000      42.5445
      2.53100      43.7414
     0.730000      43.2707
     0.673000      41.9098
      1.32400      42.9388
      1.42300      42.6660
     0.219000      40.9547
     0.969000      42.1960
      2.00400      42.7787
      1.82700      42.7344
      1.17300      42.8199
      1.78400      43.6784
      1.36300      42.8377
     0.772000      42.4552
      1.26500      42.5428
     0.948000      42.1809
      1.64400      42.6896
      3.65000      44.0161
      1.31900      44.2980
     0.894000      42.6585
      1.12500      42.7078
      1.73400      42.6948
     0.621000      42.4754
     0.959000      42.4928
      2.39000      43.7595
     0.478000      41.6517
      1.31200      43.6444
      3.33300      44.1792
     0.787000      42.6236
      2.41000      43.2643
      2.44200      43.2095
      1.88600      42.9016
      1.43500      42.8250
     0.951000      42.1212
      1.14000      43.1157
      1.31900      42.9548
      2.26900      43.4935
      1.66100      43.0329
      2.67300      43.3362
      2.45400      43.2938
      1.91200      42.8984
      1.78100      43.0325
      2.85100      43.2636
     0.437000      42.5551
      1.69700      42.8008
      1.80600      43.0934
      1.83900      42.8525
      1.70500      42.8711
      1.35400      42.4896
     0.925000      42.2455
      2.35000      42.8349
     0.501000      42.9716
      1.53700      42.7895
      2.23500      43.1742
      2.02800      42.7400
      3.18100      43.4194
     0.188000      40.5821
      1.85700      43.1129
      1.85600      42.7024
      2.82500      43.3657
     0.998000      42.2945
      1.02100      43.2289
      1.81400      43.1031
      1.33200      42.4441
      2.24400      43.6407
     0.424000      41.4249
      1.55000      42.7293
      1.31500      42.3094
     0.974000      42.0006
      2.28200      43.2776
      1.91500      42.7898
     0.901000      42.8717
     0.961000      42.3817
     0.324000      41.3339
      1.77000      43.1112
      1.26300      43.1545
     0.862000      42.6654
     0.993000      42.9617
     0.346000      41.2260
      1.15800      42.3328
     0.733000      42.3267
      1.50000      43.6858
      1.46200      42.6662
      2.67500      43.3906
      2.38500      42.9789
      1.31300      43.4756
      2.80400      43.2371
      2.85700      43.2065
      3.36000      43.0967
     0.281000      40.9946
     0.709000      42.1264
     0.902000      41.9513
      1.00100      43.3637
      1.99600      42.6717
     0.425000      41.4049
      2.42000      43.2469
      1.19700      42.6672
     0.933000      42.3136
      2.25500      42.9280
      1.09500      42.5405
      1.25500      42.8584
      2.44700      42.8416
      2.79100      43.9082
      1.23400      42.8900
     0.945000      42.6037
      1.72200      42.5704
      1.59400      42.5813
      1.24800      42.9628
