# z         Log L_0.5-2keV
     0.473733      43.8112
      1.57711      44.4439
     0.194843      42.1043
      2.65613      44.5526
     0.361503      43.0972
     0.195870      42.6064
      2.76032      44.6676
      2.75042      45.5321
      2.15466      45.0301
     0.561245      43.1234
     0.193503      42.7181
     0.491818      43.2779
      2.51139      44.3993
      2.27150      44.6288
     0.657078      44.0973
    0.0439100      40.9534
     0.586814      43.0728
      1.46973      44.2987
     0.584532      43.1000
      1.06717      43.7248
     0.482213      43.4157
      1.15741      44.4394
     0.493676      42.6569
      2.24406      44.4849
      1.46001      43.9474
     0.793169      43.6509
     0.746936      44.1012
     0.678867      43.2464
      1.44182      44.1150
     0.934323      44.1451
      1.23874      44.1001
      2.24498      44.8894
     0.718689      44.8397
      2.64405      44.7357
      1.10752      43.6796
     0.418545      43.3888
      1.57721      43.9757
     0.612149      44.0690
     0.374883      43.1009
      4.16357      45.1686
     0.747090      44.0044
     0.423960      42.7502
      2.38927      44.7988
     0.681703      44.1035
     0.748119      44.3597
     0.118962      41.2754
     0.170949      41.8504
     0.557374      43.4120
     0.777504      44.8062
     0.111487      41.2705
     0.227472      42.4561
     0.626405      43.5270
     0.639958      43.3485
      2.92253      44.4792
     0.752433      44.5770
      2.64481      44.7494
     0.756363      43.6642
      1.15188      43.5407
      1.27376      44.3004
      1.33803      44.1650
     0.767868      44.0616
     0.110002      43.1893
     0.112195      42.3246
      2.26043      44.6238
     0.421813      42.7859
      1.80007      44.8265
     0.112334      41.2335
     0.421118      42.9050
      2.25377      44.2841
      1.10356      44.4749
     0.725790      43.0670
      1.01639      43.9355
      2.28532      44.4664
     0.493106      43.2719
      1.73875      44.6910
     0.342644      43.5721
      1.07774      44.1199
     0.365437      43.1852
     0.638962      43.0841
      1.39573      44.1313
      1.99391      44.6356
     0.485650      43.3926
    0.0877755      41.3419
      2.62361      44.4677
     0.348932      42.9278
      1.48851      44.3006
      2.62431      45.1282
      1.15666      44.1487
      1.04696      43.6506
      1.32370      45.1929
    0.0502412      40.7653
      1.75420      44.6014
      2.62680      44.6688
    0.0942022      41.1581
     0.894903      44.3114
    0.0959746      41.5764
      2.79110      44.5779
      2.30035      44.8026
     0.255884      42.4890
      1.01776      43.9952
      1.60314      44.0324
      2.31795      44.8219
      1.01166      43.9585
      1.92539      44.4031
      1.00444      44.2757
      1.12642      43.8572
     0.314406      42.8255
     0.227395      42.0904
    0.0708514      41.8057
      2.22801      45.0040
     0.156259      42.4014
     0.451583      43.4054
     0.863788      43.8055
      1.33236      44.2682
     0.958883      44.1069
     0.262370      42.6684
     0.662491      43.3532
     0.203148      42.8739
      1.64241      43.8680
      1.30155      44.5170
      2.15404      44.9009
     0.738118      43.8239
     0.263781      43.3202
      3.13591      45.0498
      1.69706      44.0582
      1.01738      44.1575
     0.812321      43.3859
      1.34421      44.5150
     0.501913      43.1012
     0.528080      43.3518
     0.447066      43.6077
     0.270417      42.3963
    0.0479944      40.8232
      1.05981      44.2460
      1.63202      44.4422
     0.489590      43.3829
     0.270495      42.9838
      2.15546      44.3883
      1.28815      43.6534
     0.572977      43.0537
      1.01921      43.9081
     0.786556      44.0034
      1.36058      44.0610
     0.241096      43.2571
      1.76411      44.5162
      1.16805      43.6022
      2.15326      44.5190
     0.651663      43.6828
      1.73305      44.0725
      1.74848      44.2260
      2.26131      44.4420
     0.270449      42.6598
      1.84935      44.4415
     0.737035      44.1950
      2.70720      44.9314
     0.518719      43.5544
     0.911650      43.7628
     0.818574      44.5378
      2.75872      44.5239
     0.333067      42.6123
      1.79233      44.4037
     0.864345      43.7842
     0.995826      44.1114
     0.242747      42.8927
      2.35799      44.6255
      1.10263      43.6697
    0.0468803      40.4847
      1.19391      44.1155
      1.20543      44.3082
      1.24212      44.4060
     0.196353      43.0125
     0.997377      44.3964
      2.68677      44.3765
      1.14832      44.3359
      2.69981      44.6619
      1.27213      44.6181
      2.93961      44.5736
     0.295278      42.2912
     0.939032      43.9320
      1.37202      44.2849
     0.281507      42.5634
      1.77053      44.1443
      1.77357      44.6395
     0.629571      43.4518
     0.297128      42.9690
     0.938459      43.8995
     0.296431      42.0696
     0.195161      42.7115
      1.75499      44.3716
     0.331729      43.7271
    0.0856334      41.0050
      2.89143      44.7212
     0.514531      43.0401
      3.25354      44.8194
     0.513714      43.0313
     0.902336      43.8308
     0.205505      42.7002
     0.844906      43.5112
     0.468244      43.3340
      2.47443      44.8228
     0.577081      43.6422
     0.934744      44.1124
      1.42669      44.2510
      1.61318      44.3291
      3.27282      44.6783
     0.660900      43.8289
      2.01896      45.1485
      1.04335      44.2000
     0.412714      43.0416
      3.26626      44.8767
      1.23678      44.0277
      1.07377      43.6276
      2.41119      44.9522
      2.44776      44.9208
     0.919063      44.1638
      1.74651      44.4774
     0.366781      42.7320
      1.00177      44.1693
      1.25546      43.7747
      1.32142      45.0256
     0.907854      43.8310
      2.77858      44.5520
     0.699114      43.9883
     0.178989      42.0748
     0.458292      43.6005
     0.746482      43.8978
     0.439467      43.2044
     0.682706      44.4548
      1.79001      44.4526
      2.43348      44.8055
    0.0175437      41.2557
     0.975326      44.4047
      1.28750      44.4519
     0.238312      43.7480
    0.0187725      39.8750
      1.68861      44.8983
     0.109585      41.5968
     0.499527      43.3324
      2.60897      44.7205
     0.936237      44.3591
     0.552899      43.1860
      1.51737      44.5886
     0.950895      43.7978
      1.00191      44.5904
     0.441588      42.9658
      2.24983      44.5754
      1.05051      44.2080
      1.66282      44.2954
     0.180497      43.1901
      2.30469      44.7597
     0.432527      42.7970
     0.748406      43.1898
      1.29428      44.0331
      2.43929      44.6351
      1.67921      44.5346
      2.01958      44.7674
    0.0442510      40.4091
      1.55452      44.3828
      1.88360      44.5251
     0.389345      43.9427
    0.0463124      40.4394
     0.455095      42.7889
      1.83776      44.8556
      1.83671      44.2418
      1.95066      44.4001
      2.27352      44.4270
    0.0338434      41.5448
     0.242663      42.4345
    0.0448190      41.1329
    0.0450918      41.1778
      1.61167      44.8466
      1.58406      44.3506
     0.390190      42.7297
      2.28095      44.3898
      2.63901      44.7235
      1.47811      43.8888
     0.363877      43.5920
     0.531793      43.1375
      1.27988      44.5863
      2.87430      44.8022
      2.34363      44.6895
     0.986655      44.4028
      1.59940      44.0216
     0.177634      41.9073
      1.37260      44.6467
      1.05232      44.1002
    0.0444829      40.6820
     0.679563      43.3335
      2.96596      44.6885
      1.53237      43.8391
      3.18959      45.0483
     0.342398      43.1229
    0.0461664      40.5591
     0.387885      43.0946
    0.0467712      40.9229
      1.93546      44.4441
      1.57290      44.2197
     0.468424      43.7938
      1.24936      44.3282
     0.105744      41.6646
      1.20856      44.1788
      1.31650      44.5447
      2.63838      44.7131
     0.560375      43.4849
      1.57433      44.9573
      2.18383      44.4894
    0.0781576      41.5009
     0.873064      43.9904
    0.0456346      42.2401
      1.52943      44.1903
      2.88347      44.4587
    0.0532805      40.5199
     0.246293      42.1827
      2.52408      44.7354
     0.961030      43.8481
     0.792442      43.8395
      1.46998      44.1215
     0.569864      43.4109
      1.31832      44.6384
     0.340565      42.5016
     0.612959      44.6880
    0.0911400      42.0618
      1.05233      44.1688
     0.866658      44.3539
