#R-K     X/O
      3.30331      1.02615
      1.71145    0.0316906
      3.34644     0.593656
      3.01617     0.848062
      1.94881    -0.939880
      3.13624     0.411505
      1.71290    -0.332700
      1.39256    -0.149132
      1.95420     0.200959
      2.13720     0.152239
      2.99247     0.237159
      2.91566      1.01563
      2.48695   -0.0490646
      1.62053    -0.243453
      2.74280     0.634458
      2.35245     0.540594
      2.81350     0.754338
      3.62980     0.334026
      2.54674     0.362864
      2.57384     0.427376
      3.57134      1.12141
      3.37675     0.266814
      3.38616     0.954161
      2.08952    0.0606093
      2.43778     0.265306
      2.42114    0.0771160
      3.06369     0.678283
      2.49088     0.619915
      2.07793    -0.224217
      2.10739    -0.238265
      2.48176     0.446171
      1.90576    0.0990191
      3.17453     0.425189
      2.95893    -0.178099
      2.26150     0.654845
      3.25064     0.332644
      3.24380     0.429552
      2.32317   -0.0383005
      2.85311     0.490902
      2.36332     0.626848
      1.71839     -1.38842
      3.24928     0.673449
      1.84997     0.327152
      1.47391     -1.85977
      2.24240    -0.141265
      3.07140     0.698092
      3.29725     0.509687
      2.11935     0.193398
      2.05185     0.787898
      2.11529     0.442998
      3.07334   0.00752926
      3.14372     0.396550
      3.63239      1.05385
      2.99865   -0.0991783
      2.24657     0.192157
      2.30409     0.585294
      2.16180     0.715979
      1.10637     -1.04349
      3.15306     0.634008
      2.97073    0.0926704
      1.64790     0.362656
      2.42954     -1.10935
      3.05643    -0.206861
      3.35358    -0.514676
      2.20146     0.473955
      2.10559    -0.991186
      2.13798    -0.116633
      1.93541    -0.438625
      3.13892     0.289567
      2.06836     0.422231
      2.83704     0.553090
      2.11677     0.332840
      2.78721     0.277179
      3.75776     0.659050
    0.0664005    -0.997000
      2.32057   -0.0596776
      1.89397    0.0991144
      2.70238     0.699606
      3.00035     0.830400
      2.39010    -0.105049
      1.71149     0.701705
      3.16160    -0.338306
      2.05412    -0.220855
      1.77336     -1.39883
      2.35251      1.02779
      2.47582    0.0323324
      2.86191   -0.0556583
      3.52564     0.779058
      2.75304     0.381558
      2.28553     0.303828
      2.29220     0.196751
      2.83575    0.0377722
      3.27256   -0.0512285
      1.27150    -0.514657
      2.59691     0.471793
      2.17780     0.289938
      2.96633     0.280529
      2.09277     0.325365
      1.88417    -0.404260
      2.22292     0.282101
      2.70899     0.684141
      2.07093    0.0324488
      3.01895     0.632953
      2.77279     0.346908
      3.02936     0.623065
      1.89685    0.0747666
      3.36959     0.501255
      2.11551     0.540951
      2.68719     0.119280
     0.913321     -1.11174
      3.31726     0.796926
      3.04294     0.898823
      2.75680     0.562884
      2.51777    -0.620439
      3.49804     0.505200
      2.10540    -0.416958
      3.47027     0.845189
      3.00392    -0.223815
      2.92920     0.358976
      3.94205     0.820995
      2.07014   -0.0916924
      3.14028     0.589251
      2.78250     0.340249
      3.16881      1.08259
      1.38327    -0.211153
