#R-K     X/O
      3.73337      1.39259
      3.24344     0.669762
      3.67321     0.630169
      2.25713     0.631146
      3.58516     0.896496
      3.06557     0.602269
      2.93409     0.574511
      2.65878     0.343216
    -0.472118     -1.46180
      2.73122     0.494467
      3.96766     0.915036
      2.53002    -0.663885
      2.93992     0.558372
      2.93081     0.114798
      3.07192     0.620854
      3.61244     0.787632
      3.69664      1.09326
      3.38480     0.733044
      3.04127     0.772620
      2.58592      1.00303
      3.12864     0.800791
      3.50660      1.16201
      3.89804      1.50394
      2.28785     0.495483
      2.80059    0.0254908
      3.06346     0.652162
      3.79618     0.844611
      3.46559     0.494186
      3.79777     0.527959
      3.21626     0.617496
      3.19170      1.01542
      2.68484     0.403578
      3.86513     0.900703
      2.79359     0.654997
      2.86776     0.357480
      2.77273     0.795561
      3.82961     0.576503
      2.73560     0.685386
      3.22674     0.388945
      3.75591     0.806766
      2.33419    -0.141576
      3.64941     0.596792
      2.93005   -0.0474558
      3.33941     0.105260
      3.75022     0.777857
      3.05454     0.373516
      3.28318     0.751758
      2.50847     0.630260
      2.51293    -0.480791
      3.14265     0.523288
      3.09574     0.557137
      3.01549     0.418790
      2.87778     0.603095
      3.48371     0.964849
      2.19078     0.193562
      3.07410     0.460443
      2.82201     0.248521
      2.84081     0.549256
      2.23898     0.271777
      3.75116     0.843733
      2.85036     0.463290
      3.25075      1.02044
      3.00182     0.299520
      3.13645     0.781215
      3.45209      1.53797
      3.08698     0.643279
      3.02795     0.211103
      3.24791     0.369537
      3.42908     0.318648
      2.75726     0.314802
      2.92217     0.631711
      2.99464     0.617785
      3.41413     0.152912
      3.00926     0.815852
      3.65164      1.27398
      2.04247     0.200689
      3.98287     0.632198
      3.04308     0.388699
      3.60748     0.430240
      2.80515     0.437325
      3.45387     0.990391
      2.97190     0.903986
      1.26417     -1.67475
      3.68132      1.00271
      3.74913      1.17442
      3.01124     0.739206
      2.70749     0.468558
      3.48914     0.684452
      3.08016     0.335342
      3.94064     0.699825
      2.48016     0.209010
      3.26941     0.753157
      3.14478     0.714789
      2.64803     0.384247
      3.80884      1.24916
      3.91764     0.999522
      2.65724     0.409331
      3.00080     0.782741
      2.89391     0.745225
      3.09545     0.446216
      2.55710     0.446505
      2.63333     0.417435
      2.95677     0.814031
      3.84309     0.932447
      3.60966     0.796267
      3.34895     0.842645
      3.34213     0.662601
      3.20597     0.651511
      2.87831     0.281298
      2.96204     0.875030
      3.05198     0.315980
      3.93833     0.616720
      2.97015     0.875734
      2.64191     0.398220
      2.78178     0.438892
      3.86093     0.751541
      3.28459     0.680647
      3.22935     0.719825
      3.36423     0.580203
      3.60185     0.599000
      3.84559     0.946902
      3.49422     0.450017
      2.70538     0.594972
      3.80853     0.911768
      2.31446     0.738722
      2.26868   0.00571728
      3.98707     0.667638
      3.17344     0.689719
      3.02186     0.447556
      2.68059     0.321426
      3.71947     0.533951
      3.68952     0.949975
      3.03531     0.517598
      3.32707     0.488780
      3.54015     0.562275
      3.36235     0.604140
      3.75641      1.12146
      2.10793     0.148014
      3.29732      1.08792
      3.06836     0.707682
      3.57038     0.148813
      3.42670     0.656116
      3.55997     0.446815
      3.16925     0.759467
      2.62998     0.568113
      3.64833     0.859825
      2.51734     0.494995
      3.18445     0.834611
      3.25380    0.0791187
      2.90469     0.206476
      2.71111     0.570941
      3.78055     0.348062
      3.42171     0.487000
      2.82535     0.529553
      3.20215     0.714814
      2.93295     0.582950
      3.85659      1.04680
      2.89096     0.445913
      1.81458     0.181860
