#R-K     X/O
      1.48215     -1.49920
      2.84940    -0.353652
      5.10060      1.30510
      2.83277    0.0366688
      2.94815    -0.289327
      5.60100     0.820628
      2.31982    -0.474636
      3.93175    -0.751806
      2.76748    -0.582043
      3.10258    -0.870327
      3.62186    -0.346215
      3.38187    -0.146855
      1.68161     -1.19579
      3.96353      1.01413
      1.72023    -0.631337
      3.22855     0.510355
      4.42009     0.558037
      3.66344    0.0576382
      2.67183     0.736762
      2.58524    -0.517508
      2.53391    -0.411758
      4.88421    -0.440765
      3.22515    -0.237504
      3.54285    -0.381485
      1.17477     -1.75987
      1.04459     -2.20104
      1.96531    0.0693407
      1.43725    0.0944448
      4.00863     0.649842
      3.28208    -0.103601
      1.70275     -1.18669
      5.02414     0.281361
      2.51004     0.112645
      1.37503     -1.15925
      2.28846     -1.36678
      1.39314    -0.858930
      4.77521      1.13138
      4.60253     0.411436
      2.13620     -1.56206
