#R-K     X/O
      4.45205      1.33725
      5.83292      1.53155
      4.62987     0.999773
      4.58520      1.60420
      4.37056      1.08076
      4.34206     0.881085
      4.62759      1.27025
      4.17376      1.12177
      4.12369      1.05420
      4.59578      1.31482
      4.74343      1.09659
      5.01042      1.38593
      4.43685      1.19432
      5.22858      1.33469
      4.07440      1.12327
      4.58900      1.18051
      4.15528     0.537006
      4.41665     0.700613
      4.00218     0.836173
      4.06286     0.710577
      4.89591      1.26697
      4.22995     0.813618
      4.96048      1.15555
      4.07686      1.11081
      4.91008      1.10842
      5.16625      1.53926
      4.13037     0.951753
      5.07639      1.79030
      4.07987      1.15088
      4.16100     0.936527
      4.58032      1.74810
      4.01032     0.818520
      4.00314     0.665110
      5.12263      1.42058
      4.65525      1.10258
      4.69336      1.19219
      4.11103     0.868933
      4.39361      1.61700
      4.19522      1.29823
      4.11373      1.96188
      5.37803      2.12370
      5.91615     0.878452
      5.25467      1.49431
      5.49471      1.16466
      4.01456      1.42805
      4.20945      1.43432
      5.59259      2.33759
      4.27332     0.732442
      5.23134      1.24974
      5.72869      1.37035
      6.32279      1.86009
      4.24413     0.619639
      4.59882      1.23317
      5.18505      1.19669
      4.18325     0.772351
      4.28182     0.927592
      5.35594      1.54552
      4.29766      1.20132
      4.57021      1.15257
      4.27538     0.819475
      4.40512     0.687457
      4.55671      1.76205
      4.01637     0.724977
      4.47910     0.730934
      4.23586     0.719663
      4.78080     0.943320
      4.14373     0.882317
      4.08434     0.443348
      4.09746     0.646255
      4.86237      1.47351
      4.43178     0.751120
      4.00840     0.933537
      4.69186      1.40106
      4.36151      1.24980
      4.74233      1.70227
      4.26118      1.28014
      4.19898      1.11707
      4.03756     0.651011
      4.24797      1.07055
      4.31614      1.78926
      4.01704     0.891228
      4.17708      1.81936
      4.21278      1.61377
      4.17878     0.641590
      4.79359      1.25500
      4.12589     0.826562
      5.37667      1.53074
      4.02279     0.841357
      4.80870      1.33799
      4.08732      1.34891
      4.47886      1.55423
      4.01464     0.779105
      4.03169      1.14448
      4.72437      1.16968
      4.84659      1.41882
      5.37766      1.73706
      4.72412      1.22214
      4.02473     0.576401
      4.30424      1.28608
      4.81530     0.869850
      4.37975     0.942551
      4.40787      1.20796
      4.13451     0.199556
      4.25484      1.20137
      4.31406      1.26941
      4.20082      1.10788
      4.35903      1.19648
      4.45711     0.769685
      5.89518      2.24210
      4.38359      1.32637
      4.51439      1.52742
      4.55990      1.42049
      4.70681     0.655624
      5.81074      1.62092
      4.08898     0.930754
      4.18836      1.23172
      4.47155      1.75755
      4.23974      1.26505
      4.73860      1.03404
      4.25563     0.948494
      4.65739      1.28459
      4.39081      1.30640
      4.13745     0.650031
      4.08064     0.718935
      4.46369      1.13299
      4.66220      1.04573
      5.10724      1.55266
      4.04420      1.30861
      4.09560     0.916474
      4.36764      1.03197
      5.90029      1.54601
      4.66444      1.16781
      4.06148     0.939493
      4.93577      1.46642
      4.45874      1.63129
      4.07003      1.13094
      4.65339      1.49590
      4.47164     0.694035
      4.15368     0.686953
      5.53004      1.83942
      4.86240      1.83159
      4.03615      1.07813
      4.27383     0.398646
      4.29755      1.06248
      4.77244      1.31592
      4.72182      1.04528
      5.14603      1.61719
      4.44549     0.973533
      4.08304      1.20817
      4.25073     0.721108
      4.66138      1.41409
      4.52368     0.906869
      5.53242      1.63766
      4.25309     0.907475
      4.02801     0.835909
      4.01498     0.818452
      4.18540      1.27606
      4.12547     0.885318
      4.34432      1.06008
      4.03245     0.895561
      4.50554     0.658782
      4.48975   0.00653553
      4.10003     0.784945
      4.21406      1.62106
      4.47128     0.596067
      4.71549     0.420833
      4.29547     0.579636
      4.13101      1.71678
      4.02846      1.38927
      4.62910      1.50342
      5.92388      2.43901
      4.28967      1.02728
      4.80177      1.67846
      4.09900     0.987456
      4.57254      1.43307
      4.75040      1.33639
      4.23461      1.11925
      4.10961      1.06320
      4.13590     0.787795
      4.18715     0.725693
      4.17433     0.803660
      4.11975      1.19318
      4.23746     0.805757
      4.00936     0.896361
      5.45764      1.54978
      4.31222      1.23574
      4.41548     0.789007
      4.31706      1.14956
      4.25089    0.0409660
      4.32862     0.526479
      4.10572      1.01145
      4.27221     0.732578
      4.93442     0.402347
      4.62428     0.778629
      4.21151     0.764702
      4.93366     0.642272
      4.68335     0.234587
      4.85612     0.814185
      4.09970     0.935743
      4.03057     0.302366
      5.51655      1.02743
      4.45404      1.13686
      4.97820     0.947940
      4.19798      1.26512
      4.02207     0.424181
